Instantaneous_power_reading(W),Minimum_during_sampling_period(W),Maximum_during_sampling_period(W),Average_power_reading_over_sample_period(W),Day_of_Week,Month,Day,Time,Year,Sampling_period,Power_reading_state_is,Time_elapsed
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000376
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000380
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000384
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000388
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000392
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000396
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000400
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000404
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000408
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000412
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000416
267,238,267,247,Sun,Nov,15,23:41:41,2020,00000004,activated,00000420
262,238,267,253,Sun,Nov,15,23:41:41,2020,00000004,activated,00000424
262,238,267,253,Sun,Nov,15,23:41:41,2020,00000004,activated,00000428
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000432
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000436
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000440
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000444
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000448
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000452
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000456
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000460
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000464
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000468
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000472
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000476
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000480
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000484
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000488
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000492
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000496
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000500
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000504
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000508
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000512
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000516
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000520
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000524
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000528
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000532
262,238,267,253,Sun,Nov,15,23:41:42,2020,00000004,activated,00000536
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000540
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000544
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000548
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000552
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000556
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000560
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000564
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000568
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000572
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000576
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000580
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000584
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000588
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000592
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000596
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000600
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000604
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000608
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000612
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000616
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000620
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000624
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000628
262,238,267,253,Sun,Nov,15,23:41:43,2020,00000004,activated,00000632
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000636
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000640
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000644
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000648
